index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
140,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik,7.3,Matematik - Aalborg Universitet,3.0,33750.0,3.0,51550.0
141,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi,0.0,Matematik-økonomi - Københavns Universitet,3.0,48000.0,0.0,63900.0
142,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi,0.0,Matematik-økonomi - Syddansk Universitet,2.0,44850.0,0.0,64400.0
143,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi,0.0,Matematik-økonomi - Aarhus Universitet,5.0,42100.0,1.0,51000.0
144,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi,7.9,Matematik-økonomi - Aalborg Universitet,6.0,37400.0,,
145,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medicinalkemi,7.6,Medicinalkemi - Københavns Universitet,5.0,34050.0,,
146,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medicinalkemi,9.6,Medicinalkemi - Aarhus Universitet,16.0,33500.0,,
147,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/molekylaer-biomedicin,0.0,Molekylær biomedicin - Københavns Universitet,7.0,33700.0,,
148,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/molekylaer-medicin,0.0,Molekylær medicin - Aarhus Universitet,,,,
149,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/nanoscience,7.9,Nanoscience - Københavns Universitet,9.0,32300.0,1.0,54300.0
150,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/nanoscience,0.0,Nanoscience - Aarhus Universitet,14.0,31500.0,1.0,51000.0
